dataset,foundational_model,adapter,n_features,n_components,context_length,forecasting_horizon,num_layers,hidden_dim,learning_rate,batch_size,coeff_reconstruction,running_time,seed,mse,mae,test_mse,test_mae
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.01,64,0.01,32.026087045669556,1333,0.7247089242310865,0.6677074775473502,5.437109684564025,1.6068046991425862
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,64,1.0,208.77659797668457,1333,0.8318867957271038,0.7355170752035606,5.890374092466953,1.7358651490910835
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,32,0.1,239.7326216697693,1333,0.7197044245198125,0.665515469409909,5.271046794006111,1.6008142950512416
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,32,10.0,221.32343244552612,1333,0.747302997893794,0.6675633462570196,5.606593086353115,1.6115470006411428
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,64,1.0,245.2392508983612,1333,0.7070177843996625,0.6563215408839198,4.729595430454085,1.5062405199299846
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,64,0.1,200.06241846084595,1333,0.7182157684881243,0.661606266339073,4.513931520131624,1.4601566844756795
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,32,0.1,178.10311102867126,1333,0.7383132122699279,0.6768870442358659,5.730032769240947,1.6692184951469642
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,64,0.1,304.8390612602234,1333,0.7060681474979599,0.6650517913251245,4.973734201874293,1.5439222176073195
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,32,0.1,319.3008379936218,1333,0.7045573165568917,0.6607357575408065,5.125913929386436,1.58018591735579
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.0001,32,1.0,347.37332248687744,1333,0.9458385301265083,0.7389977649934107,6.491484010443462,1.7644414209605659
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,32,10.0,167.48678255081177,1333,0.731687731296655,0.6611228156944837,5.617812267403006,1.62653134729072
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.0001,64,1.0,354.73265409469604,1333,1.111583843315439,0.819233382221148,6.276533561055136,1.7761919238689774
